大学名,研究科,専攻名,氏名（漢字）,研究テーマ（スラッシュ区切り）,個人ページURL,出典URL,取得日時,run_id,研究室名称（JP）,タグ（JP）,evidence_path
北海道大学,水産科学院,,阿部 泰人,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/abehiroto?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,秋田 晋吾,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/akita-shingo?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,安藤 靖浩,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/ando-yasuhiro?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,別府 史章,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/beppu-fumiaki?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,生物資源 海洋共生学,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/bower-john-richard?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,国際 教育室,国際教育室,https://www2.fish.hokudai.ac.jp/faculty-member/tony?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,藤森 康澄,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/fujimori-yasuzumi?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,藤本 貴史,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/takafumi-fujimoto?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,藤田 雅紀,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/fujita_masaki?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,五味 伸太郎,応用物理学,https://www2.fish.hokudai.ac.jp/faculty-member/gomi_shintaro?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,長谷 川浩平,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/hasegawa-kohei?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,特任 樋口,増殖生物学,https://www2.fish.hokudai.ac.jp/faculty-member/higuchi-ichiro?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,平松 尚志,北方生物圏FSC,https://www2.fish.hokudai.ac.jp/faculty-member/hiramatsu-naoshi?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,星 直樹,おしょろ丸,https://www2.fish.hokudai.ac.jp/faculty-member/hoshi-naoki?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,細川 雅史,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/hosokawa-masashi?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,飯田 高大,うしお丸,https://www2.fish.hokudai.ac.jp/faculty-member/takahiro-iida?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,井尻 成保,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/ijiri-shigeho?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,今井 圭理,おしょろ丸,https://www2.fish.hokudai.ac.jp/faculty-member/imai-keiri?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,今村 央,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/imamura-hisashi?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,井上 晶,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/inoue-akira?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,石原 千晶,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/ishihara-chiaki?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,磯田 豊,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/isoda-yutaka?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,趙 佳賢,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/joe-gahyun?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,亀井 佳彦,おしょろ丸,https://www2.fish.hokudai.ac.jp/faculty-member/kamei-yoshihiko?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,笠井 久会,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/kasai-hisae?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,笠井 亮秀,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/kasai-akihide?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,河合 俊郎,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/kawai-toshio?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,川上 達也,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/kawakami_tatsuya?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,岸村 栄毅,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/kishimura-hideki?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,小林 直人,うしお丸,https://www2.fish.hokudai.ac.jp/faculty-member/kobayashi-naoto?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,小林 彰子,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/kobayashi-shoko?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,米山 和良,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/komeyama?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,工藤 秀明,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/kudo-hideaki?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,熊谷 祐也,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/kumagai-yuya?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,栗原 秀幸,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/kurihara-hideyuki?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,丸山 英男,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/maruyama-hideo?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,松石 隆,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/matsuishi-takashi?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,松野 孝平,北方生物圏FSC,https://www2.fish.hokudai.ac.jp/faculty-member/matsuno_kohei?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,南 憲吏,北方生物圏FSC,https://www2.fish.hokudai.ac.jp/faculty-member/minami-k?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,応用生命 海洋生物工学,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/mino-sayaka?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,宮下 和士,北方生物圏FSC,https://www2.fish.hokudai.ac.jp/faculty-member/miyashita-kazushi?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,水田 浩之,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/mizuta-hiroyuki?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,向井 徹,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/mukai-tohru?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,永田 淳,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/nagata-jun?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,中屋 光裕,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/nakaya-mitsuhiro?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,西村 俊哉,応用生命,https://www2.fish.hokudai.ac.jp/faculty-member/nishimura-toshiya?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,野村 大樹,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/nomura-daiki?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,大西 広二,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/onishi-hiroji?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,大木 淳之,生物資源,https://www2.fish.hokudai.ac.jp/faculty-member/ooki-atsushi?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
北海道大学,水産科学院,,大和 田真紀,おしょろ丸,https://www2.fish.hokudai.ac.jp/faculty-member/oowada-maki?key=jp,https://www2.fish.hokudai.ac.jp/faculty-member/?key=jp,2025-10-07,20251007,,,
